JobID,Job Title,Company,Location,Industry,Role Category,Job Type,Work Mode,Min Experience,Required Education,Salary Range,Required Skills,Description,Posted Date,Urgency
1,Business Analyst,Mcdonald-Nelson,"Los Angeles, CA",Finance,AI/ML,Full-time,Hybrid,2,PhD,$60k-$80k,"Tableau, TensorFlow, PyTorch, Scikit-learn, Google Analytics, Power BI, Excel, Business Strategy","Mcdonald-Nelson is hiring a Business Analyst in Los Angeles, CA to work in Finance. Candidates should be skilled in Tableau, TensorFlow, PyTorch, Scikit-learn, Google Analytics, Power BI, Excel, Business Strategy with at least 2 years of experience. This is a Full-time position.",2025-01-18,Within 30 Days
2,Data Engineer,"Williams, Henderson and Williams","Atlanta, GA",Retail,AI/ML,Part-time,Hybrid,0,Master's,$70k-$90k,"Machine Learning, Scikit-learn, Statistics, Python, NLP","Williams, Henderson and Williams is hiring a Data Engineer in Atlanta, GA to work in Retail. Candidates should be skilled in Machine Learning, Scikit-learn, Statistics, Python, NLP with at least 0 years of experience. This is a Part-time position.",2025-02-11,Rolling
3,Marketing Analyst,"Elliott, Jackson and Rodriguez","Boston, MA",Healthcare,Finance,Full-time,Hybrid,0,Bachelor's,$80k-$100k,"Python, Business Strategy, Stakeholder Communication, Excel, TensorFlow, Power BI, Statistics","Elliott, Jackson and Rodriguez is hiring a Marketing Analyst in Boston, MA to work in Healthcare. Candidates should be skilled in Python, Business Strategy, Stakeholder Communication, Excel, TensorFlow, Power BI, Statistics with at least 0 years of experience. This is a Full-time position.",2024-11-08,Within 30 Days
4,AI Engineer,"Maldonado, Anderson and Tanner","San Francisco, CA",Consulting,AI/ML,Contract,On-site,3,PhD,$80k-$100k,"Power BI, NLP, PyTorch, SQL, Tableau","Maldonado, Anderson and Tanner is hiring a AI Engineer in San Francisco, CA to work in Consulting. Candidates should be skilled in Power BI, NLP, PyTorch, SQL, Tableau with at least 3 years of experience. This is a Contract position.",2024-11-16,Rolling
5,HR Analytics Specialist,"Bauer, Thomas and Harrison","Seattle, WA",Finance,Finance,Internship,Remote,0,Bachelor's,$100k-$150k,"Business Strategy, Tableau, Deep Learning, Stakeholder Communication, Excel, Statistics, Python, TensorFlow, Google Analytics","Bauer, Thomas and Harrison is hiring a HR Analytics Specialist in Seattle, WA to work in Finance. Candidates should be skilled in Business Strategy, Tableau, Deep Learning, Stakeholder Communication, Excel, Statistics, Python, TensorFlow, Google Analytics with at least 0 years of experience. This is a Internship position.",2025-02-13,Within 30 Days
6,HR Analytics Specialist,Alexander and Sons,"Los Angeles, CA",Finance,Data,Full-time,Hybrid,4,PhD,$60k-$80k,"Deep Learning, Statistics, Power BI, Excel, NLP, Tableau","Alexander and Sons is hiring a HR Analytics Specialist in Los Angeles, CA to work in Finance. Candidates should be skilled in Deep Learning, Statistics, Power BI, Excel, NLP, Tableau with at least 4 years of experience. This is a Full-time position.",2024-10-29,Rolling
7,Operations Analyst,"Elliott, Jackson and Rodriguez","Seattle, WA",Consulting,Data,Part-time,Remote,0,PhD,$80k-$100k,"PyTorch, Statistics, Power BI, Stakeholder Communication, Python, Deep Learning, Scikit-learn, Business Strategy","Elliott, Jackson and Rodriguez is hiring a Operations Analyst in Seattle, WA to work in Consulting. Candidates should be skilled in PyTorch, Statistics, Power BI, Stakeholder Communication, Python, Deep Learning, Scikit-learn, Business Strategy with at least 0 years of experience. This is a Part-time position.",2024-12-01,Immediate
8,Business Analyst,"Maldonado, Anderson and Tanner","New York, NY",Consulting,Engineering,Part-time,Hybrid,4,PhD,$70k-$90k,"Machine Learning, TensorFlow, Python, Excel, Statistics","Maldonado, Anderson and Tanner is hiring a Business Analyst in New York, NY to work in Consulting. Candidates should be skilled in Machine Learning, TensorFlow, Python, Excel, Statistics with at least 4 years of experience. This is a Part-time position.",2024-11-06,Future Hiring
9,HR Analytics Specialist,"Hanson, Allen and Dougherty","Houston, TX",Technology,Engineering,Part-time,On-site,4,Bachelor's,$80k-$100k,"Google Analytics, TensorFlow, SQL, Statistics, PyTorch, Excel, Scikit-learn","Hanson, Allen and Dougherty is hiring a HR Analytics Specialist in Houston, TX to work in Technology. Candidates should be skilled in Google Analytics, TensorFlow, SQL, Statistics, PyTorch, Excel, Scikit-learn with at least 4 years of experience. This is a Part-time position.",2024-12-20,Within 30 Days
10,Data Analyst,Woodward LLC,"Denver, CO",Healthcare,AI/ML,Internship,Hybrid,4,Master's,$90k-$120k,"Statistics, Python, Google Analytics, Power BI, Tableau, NLP, Deep Learning","Woodward LLC is hiring a Data Analyst in Denver, CO to work in Healthcare. Candidates should be skilled in Statistics, Python, Google Analytics, Power BI, Tableau, NLP, Deep Learning with at least 4 years of experience. This is a Internship position.",2024-11-11,Within 30 Days
